Species	Status	min_age	max_age
Smilodon_fatalis	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Puma_concolor	extant	0.3	1.8
Lynx_canadensis	extant	0.3	1.8
Lynx	extinct	1.8	4.9
Panthera_onca	extant	1.8	4.9
Homotherium	extinct	1.8	4.9
Lynx	extinct	0.012	1.8
Homotherium	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Panthera_onca	extant	0.012	1.8
Felidae	extinct	0.012	1.8
Felidae	extinct	0.3	1.8
Miracinonyx_studeri	extinct	0.3	1.8
Homotherium_serum	extinct	0.3	1.8
Felinae	extinct	0.3	1.8
Panthera_leo_atrox	extinct	0.3	1.8
Homotherium	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Homotherium	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Homotherium	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Miracinonyx_inexpectatus	extinct	0.3	1.8
Smilodon_fatalis	extinct	0.3	1.8
Felinae	extinct	0.3	1.8
Miracinonyx_inexpectatus	extinct	1.8	4.9
Lynx	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Smilodon_gracilis	extinct	0.3	1.8
Homotherium	extinct	0.3	1.8
Machairodontinae	extinct	0.3	1.8
Smilodon	extinct	0.3	1.8
Felinae	extinct	0.3	1.8
Lynx_rufus	extant	0.3	4.9
Miracinonyx_inexpectatus	extinct	0.012	0.3
Homotherium	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Leopardus_wiedii	extant	0.012	1.8
Felidae	extinct	0.3	1.8
Smilodon_fatalis	extinct	0.3	1.8
Felidae	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Lynx	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Homotherium	extinct	0.3	1.8
Panthera_onca	extant	0.012	0.3
Puma_concolor	extant	0.012	0.3
Leopardus_pardalis	extant	0.012	0.3
Lynx_rufus	extant	0.012	0.3
Homotherium_serum	extinct	0.012	0.3
Panthera_onca	extant	0.3	1.8
Panthera_onca	extant	0.3	1.8
Panthera_leo_atrox	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Homotherium_serum	extinct	0.3	1.8
Panthera_leo_atrox	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Panthera	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Lynx_canadensis	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Panthera_leo_atrox	extinct	0.0117	0.126
Puma_concolor	extant	0.0117	0.126
Homotherium_serum	extinct	0.0117	0.126
Smilodon_fatalis	extinct	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Panthera_leo_atrox	extinct	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Smilodon_fatalis	extinct	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Leopardus	extinct	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Smilodon_fatalis	extinct	0.0117	0.126
Smilodon	extinct	0.0117	0.126
Smilodon_fatalis	extinct	0.0117	0.126
Panthera_leo_atrox	extinct	0.0117	0.126
Lynx_canadensis	extant	0.0117	0.126
Miracinonyx_studeri	extinct	0.0117	0.126
Lynx_lynx	extant	0.0117	0.126
Felinae	extinct	0.0117	0.126
Puma_concolor	extant	0.0117	0.126
Leopardus_wiedii	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Smilodon_fatalis	extinct	0.0117	0.126
Smilodon_fatalis	extinct	0.0117	0.126
Panthera_leo_atrox	extinct	0.0117	0.126
Puma_concolor	extant	0.0117	0.126
Smilodon_fatalis	extinct	0.0117	0.126
Lynx_canadensis	extant	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Pseudaelurus	extinct	5.333	11.608
Felidae	extinct	2.588	7.246
Felidae	extinct	2.588	7.246
Machairodontinae	extinct	3.6	5.333
Homotherium	extinct	0.781	5.333
Homotherium	extinct	0.781	5.333
Megantereon	extinct	0.781	5.333
Megantereon_eurynodon	extinct	0.0117	2.588
Leopardus_pardalis	extant	0	0.0117
Puma_yagouaroundi	extant	0	0.0117
Puma_concolor	extant	0	0.0117
Panthera_onca	extant	0	0.0117
Leopardus_pardalis	extant	0	0.0117
Puma_yagouaroundi	extant	0	0.0117
Puma_concolor	extant	0	0.0117
Panthera_onca	extant	0	0.0117
Panthera_leo	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Felis_libyca	extinct	0	0.0117
Caracal_caracal	extant	0	0.0117
Acinonyx_jubatus	extant	0	0.0117
Caracal_serval	extant	0	0.0117
Leopardus_pardalis	extant	0	0.0117
Leopardus_wiedii	extant	0	0.0117
Puma_yagouaroundi	extant	0	0.0117
Puma_concolor	extant	0	0.0117
Panthera_onca	extant	0	0.0117
Panthera_leo	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Felis_libyca	extinct	0	0.0117
Megantereon	extinct	2.588	3.6
Homotherium	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Dinofelis	extinct	2.588	3.6
Megantereon	extinct	2.588	3.6
Homotherium	extinct	2.588	3.6
Panthera	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Dinofelis	extinct	2.588	3.6
Megantereon	extinct	2.588	3.6
Homotherium	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Dinofelis	extinct	2.588	3.6
Homotherium	extinct	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Panthera	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Dinofelis	extinct	2.588	3.6
Panthera	extinct	2.588	3.6
Homotherium	extinct	2.588	3.6
Panthera	extinct	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Felis	extinct	1.806	2.588
Panthera	extinct	1.806	2.588
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Homotherium	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Homotherium	extinct	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Homotherium	extinct	2.588	5.333
Panthera	extinct	2.588	5.333
Panthera_gombaszoegensis	extinct	2.588	5.333
Felis	extinct	2.588	5.333
Homotherium	extinct	2.588	3.6
Panthera	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Diamantofelis_ferox	extinct	11.608	23.03
Diamantofelis_minor	extinct	11.608	23.03
Panthera_leo	extant	0	2.588
Panthera_pardus	extant	0	2.588
Felis_silvestris	extant	0	2.588
Panthera_pardus	extant	0	2.588
Felis_silvestris	extant	0	2.588
Felis	extinct	0	2.588
Panthera_pardus	extant	0	2.588
Felis_silvestris	extant	0	2.588
Felis	extinct	0	2.588
Felidae	extinct	0	0.0117
Panthera_pardus	extant	0.0117	0.781
Panthera_leo	extant	0	0.0117
Felis_libyca	extinct	0.0117	2.588
Felis_libyca	extinct	0	0.0117
Felis_libyca	extinct	0	0.0117
Felidae	extinct	0.0117	2.588
Felidae	extinct	0	0.0117
Panthera	extinct	0.0117	2.588
Caracal_caracal	extant	0	2.588
Caracal_serval	extant	0	2.588
Caracal_caracal	extant	0	2.588
Caracal_serval	extant	0	2.588
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.781	1.806
Panthera	extinct	0.781	1.806
Machairodus	extinct	5.333	23.03
Machairodus	extinct	2.588	23.03
Homotherium	extinct	7.246	13.82
Felidae	extinct	3.6	11.62
Dinofelis	extinct	0.0117	5.333
Megantereon	extinct	0.0117	5.333
Felidae	extinct	3.6	5.333
Homotherium	extinct	3.6	5.333
Dinofelis	extinct	3.6	5.333
Felis	extinct	3.6	5.333
Felidae	extinct	3.6	5.333
Homotherium	extinct	3.6	5.333
Felis	extinct	3.6	5.333
Dinofelis	extinct	3.6	5.333
Felis_obscura	extinct	3.6	5.333
Dinofelis	extinct	2.588	23.03
Caracal_caracal	extant	2.588	23.03
Machairodus	extinct	2.588	23.03
Felidae	extinct	2.588	5.333
Dinofelis	extinct	2.588	11.62
Machairodontinae	extinct	2.588	11.62
Felidae	extinct	2.588	11.62
Dinofelis	extinct	2.588	11.608
Panthera_leo	extant	0.0117	2.588
Homotherium	extinct	5.333	7.246
Felidae	extinct	5.333	7.246
Panthera	extinct	3.6	5.333
Felidae	extinct	3.6	5.333
Felidae	extinct	5.333	7.246
Megantereon	extinct	2.588	5.333
Homotherium	extinct	2.588	5.333
Dinofelis	extinct	3.6	5.333
Felidae	extinct	3.6	5.333
Felis_libyca	extinct	2.588	3.6
Caracal_caracal	extant	2.588	3.6
Acinonyx_jubatus	extant	2.588	3.6
Caracal_serval	extant	2.588	3.6
Megantereon	extinct	2.588	3.6
Felis	extinct	2.588	3.6
Homotherium	extinct	2.588	5.333
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Dinofelis	extinct	0.781	2.588
Dinofelis	extinct	0.781	1.806
Felis	extinct	2.588	5.333
Panthera_pardus	extant	0.781	2.588
Panthera_pardus	extant	0.781	2.588
Felis	extinct	0.781	1.806
Machairodus	extinct	5.333	7.246
Felidae	extinct	1.806	2.588
Felidae	extinct	1.806	2.588
Caracal_serval	extant	0.781	1.806
Machairodontinae	extinct	0.781	1.806
Caracal_caracal	extant	0	0.0117
Caracal_caracal	extant	0	2.588
Felis_silvestris	extant	0	0.0117
Felis_libyca	extinct	0	2.588
Panthera_leo	extant	0	0.0117
Felis_libyca	extinct	0	0.0117
Felis_silvestris	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Panthera_pardus	extant	0.0117	2.588
Felis_libyca	extinct	0.0117	2.588
Caracal_caracal	extant	0.0117	2.588
Caracal_caracal	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Felis_libyca	extinct	0	0.0117
Caracal_caracal	extant	0	0.0117
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Felis_libyca	extinct	0.0117	2.588
Caracal_serval	extant	0.0117	2.588
Panthera_pardus	extant	0	0.0117
Felis_libyca	extinct	0	0.0117
Caracal_caracal	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Felis_libyca	extinct	0	0.0117
Panthera_pardus	extant	0	2.588
Felis_libyca	extinct	0	2.588
Caracal_caracal	extant	0	2.588
Panthera_pardus	extant	0	2.588
Felis_libyca	extinct	0	2.588
Panthera_leo	extant	0	2.588
Felis_libyca	extinct	0	2.588
Caracal_caracal	extant	0	2.588
Panthera_pardus	extant	0	2.588
Felis_libyca	extinct	0	2.588
Caracal_caracal	extant	0	2.588
Panthera_leo	extant	0.0117	2.588
