"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=panthera&taxon_reso=species"
"Access Time","Fri 2017-02-03 19:34:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","panthera"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0122"
"Records Found","291"
"Records Returned","291"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"196856","occ","","","20290","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","6221"
"196936","occ","","","20295","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","1907"
"197047","occ","","","20302","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","1725"
"197048","occ","","","20302","Panthera augusta","species","161738","subjective synonym of","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","1725"
"197125","occ","","","20307","Panthera ? onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","1558"
"197300","occ","9447","","20322","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Blancan","","4.9","1.8","6294"
"197405","occ","","","20335","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"197503","occ","","","20347","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","1916"
"197626","occ","","","20354","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","1727"
"198118","occ","","","20415","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","2615"
"198525","occ","","","20479","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","3103"
"198614","occ","9729","","20491","Panthera onca","species","49735","","Panthera onca","species","46524","Rancholabrean","","0.3","0.012","6294"
"198687","occ","","","20499","Panthera cf. onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","6221"
"198876","occ","","","20520","Felis onca","species","46524","recombined as","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","3567"
"198877","occ","","","20520","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","3567"
"198977","occ","","","20533","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","1302"
"199212","occ","","","20569","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","1936"
"199311","occ","9853","","20573","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","6294"
"199322","occ","","","20576","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","1785"
"199416","occ","9864","","20593","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","6294"
"199496","occ","","","20600","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","2727"
"199590","occ","9883","","20608","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","6294"
"199645","occ","","","20615","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","1200"
"199887","occ","","","20639","Felis cf. atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","2588"
"199971","occ","9938","","20647","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","6294"
"212977","occ","","","21687","Panthera onca","species","49735","","Panthera onca","species","46524","Holocene","","0.0117","0","4787"
"213102","occ","","","21689","Panthera onca","species","49735","","Panthera onca","species","46524","Holocene","","0.0117","0","4790"
"213114","occ","","","21690","Panthera leo","species","49734","","Panthera leo","species","46521","Holocene","","0.0117","0","4792"
"213115","occ","","","21690","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","4792"
"213203","occ","","","21691","Panthera onca","species","49735","","Panthera onca","species","46524","Holocene","","0.0117","0","4796"
"213254","occ","","","21693","Panthera leo","species","49734","","Panthera leo","species","46521","Holocene","","0.0117","0","4805"
"213255","occ","","","21693","Panthera pardus","species","72185","","Panthera pardus","species","104158","Holocene","","0.0117","0","4805"
"213409","occ","","","21790","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213428","occ","","","21798","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213452","occ","","","21802","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213465","occ","","","21806","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213472","occ","","","21807","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213492","occ","","","21811","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
"213499","occ","","","21813","Leo cf. gombaszoegensis","species","56002","recombined as","Panthera gombaszoegensis","species","56002","Piacenzian","","3.6","2.588","4451"
