"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"21943","col","","27.416700","-29.666700","Tienfontein 2","","ETE Locality 762, Tienfontein 2, ","1","Holocene","","0.0117","0","5214"
"21948","col","","22.183300","-33.533298","Boomplas Cave","","ETE Locality 767, Boomplas Cave, ","1","Pleistocene","Holocene","2.588","0","5246"
"21949","col","","31.983299","-27.016701","Border Cave","","ETE Locality 768, Border Cave, ","1","Pleistocene","Holocene","2.588","0","5248"
"21950","col","","21.866699","-33.511101","Buffelskloof","","ETE Locality 769, Buffelskloof, ","1","Pleistocene","Holocene","2.588","0","5249"
"21951","col","","19.466700","-34.583302","Byeneskranskop Cave","","ETE Locality 770, Byeneskranskop Cave, ","1","Pleistocene","Holocene","2.588","0","5250"
"21953","col","","18.000000","-33.000000","Duinefontein 2","","ETE Locality 772, Duinefontein 2, ","1","Pleistocene","","2.588","0.0117","5252"
"21954","col","","18.250000","-33.083302","Elandsfontein (Cutting 10)","","ETE Locality 773, Elandsfontein (Cutting 10), ","1","Pleistocene","","2.588","0.0117","5232"
"21956","col","","24.616699","-27.616699","Equus Cave","","ETE Locality 775, Equus Cave, ","2","Pleistocene","","2.588","0.0117","5255"
"21957","col","","25.650000","-33.599998","Heuningneskrans Shelter","","ETE Locality 776, Heuningneskrans Shelter, ","1","Pleistocene","Holocene","2.588","0","5237"
"21961","col","","27.721100","-26.016899","Plovers Lake","","ETE Locality 780, Plovers Lake, SAM, ","1","Calabrian","","1.806","0.781","5261"
"21963","col","","36.250000","-1.750000","Lainyamok","","ETE Locality 783, Lainyamok, ","2","Pleistocene","","2.588","0.0117","5266"
"22066","col","","29.600000","0.133300","Ishango - N.F.P.","","ETE Locality 887, Niveau fossilifere principal, Ishango - N.F.P., ","1","Pleistocene","Holocene","2.588","0","5321"
"22068","col","","29.600000","0.133300","Ishango - Z. Post-Em.","","ETE Locality 889, Zone post-emersion, Ishango - Z. Post-Em., ","1","Pleistocene","Holocene","2.588","0","5320"
"22074","col","","29.823000","1.374000","Matupi Cave - Unit Matupi II","","ETE Locality 895, Matupi Cave - Unit Matupi II, ","1","Pleistocene","Holocene","2.588","0","5325"
"22272","col","Kapthurin","36.000000","0.500000","East Turkana - Kapthurin fm.","","ETE Locality 1096, Baringo, Kapthurin, Kapthurin fm., ","1","Pleistocene","","2.588","0.0117","5569"
"22329","col","Kromdraai","27.750000","-26.000000","Kromdraai B - Layer 3","","ETE Locality 1153, Kromdraai B - Layer 3, KB, ","1","Pliocene","Pleistocene","5.333","0.0117","4884"
"22331","col","Kromdraai","27.450001","-26.000000","Kromdraai B Mbr. 3","","ETE Locality 1155, Kromdraai B Mbr. 3, KB, ","1","Pliocene","Pleistocene","5.333","0.0117","5600"
"22332","col","Kromdraai","27.750000","-26.000000","Kromndraai B - Layer 1","","ETE Locality 1156, Kromndraai B - Layer 1, KB, ","1","Pliocene","Pleistocene","5.333","0.0117","5531"
"22334","col","Kromdraai","27.750000","-26.000000","Kromdraai A","","ETE Locality 1158, Kromdraai A, KA, ","1","Pliocene","Pleistocene","5.333","0.0117","4885"
"22355","col","Makapansgat","28.950001","-24.200001","Makapansgat - Mbr. 4","","ETE Locality 1179, Cercopithecid Breccia, Pink stony Breccia, Upper Phase IBreccia, Makapansgat - Mbr. 4, ","1","Pliocene","","5.333","2.588","5512"
"22356","col","Makapansgat","28.950001","-24.200001","Makapansgat - Mbr. 3","","ETE Locality 1180, grey marl, Lower Phase I grey breccia, Makapansgat - Mbr. 3, ","1","Pliocene","","5.333","2.588","5537"
"22357","col","Makapansgat","28.950001","-24.200001","Makapansgat - Mbr. 1","","ETE Locality 1181, contaminated travertine, Makapansgat - Mbr. 1, ","1","Pliocene","","5.333","2.588","5538"
"22489","col","","-6.081400","34.435600","Doukkala II","","ETE Locality 1313, Doukkala II, ","2","Pleistocene","","2.588","0.0117","5619"
"22553","col","Hubu","35.966702","-2.333300","Peninj-Basal Sands w/Clay","","ETE Locality 1392, Peninj-Basal Sands w/Clay, ","1","Gelasian","Calabrian","2.588","0.781","5636"
"22578","col","Hubu","35.966702","-2.333300","Peninj-Basal Sands w/Clay","","ETE Locality 1418, Peninj-Basal Sands w/Clay, ","1","Gelasian","Calabrian","2.588","0.781","5636"
"22728","col","","11.383300","50.983299","Sussenborn","","ETE Locality 1607, Sussenborn, ","1","Pleistocene","","2.588","0.0117","5674"
"32050","col","Vogel River Series","35.130001","-3.130000","Laetoli Beds Upper","","Laetolil, Garusi, Southern Serengeti, Vogel River Series","1","Pliocene","","5.333","2.588","4451"
"32052","col","M1, M2, D2, C1, C2 or LR","-7.650000","33.583332","Ahl al Oughlam - general","","Deprez Quarry","1","Late Pliocene","","3.6","2.588","5595"
"32062","col","","22.583332","37.000000","Apidima Cave B","","","1","Middle Pleistocene","Late Pleistocene","0.781","0.0117","8611"
"32082","col","","22.583332","37.000000","Apidima Cave C","","","1","Middle Pleistocene","Late Pleistocene","0.781","0.0117","8611"
"32119","col","","37.049999","-1.466667","Lukenya Hill GvJm 19, 110-80cm","","Lukenya Hill","1","Late Pleistocene","","0.126","0.0117","8626"
"32124","col","","37.049999","-1.466667","Lukenya Hill GvJm 19, 80-0cm","","Lukenya Hill","1","Late Pleistocene","","0.126","0.0117","8626"
"34104","col","","69.966667","38.349998","Lakhuti 2 Main collection","","Lakhuti-2 main","1","Pleistocene","","2.588","0.0117","8649"
"34127","col","","5.600000","50.483334","La Belle-Roche","","Belle Roche, Sprimont","2","Pleistocene","","2.588","0.0117","8650"
"34287","col","","-7.583333","33.583332","Thomas Quarry 1 level G","","Th1-G,\r\nHominid Level,\r\nH. erectus cave ","1","Pleistocene","","2.588","0.0117","9013"
"34330","col","","-7.583333","33.583332","Oulad Hamida 1 - Rhino Cave","","OH1-GDR,\r\nGrotte des Rhinoceros","1","Middle Pleistocene","","0.781","0.126","9013"
"34617","col","Gerakarou","23.150000","40.683334","Gerakarou 1","","GER","1","Villanyian","Pleistocene","3.2","0.0117","9135"
"34782","col","","22.950001","39.366669","Alikes","","Halykes\r\nALK","1","Early Pleistocene","","2.588","0.781","9135"
"34808","col","","22.950001","39.366669","Volos","","VOL","1","Early Pleistocene","Middle Pleistocene","2.588","0.126","9135"
"34809","col","","22.133333","37.400002","Megalopolis","","MGL","1","Pleistocene","","2.588","0.0117","9135"
"34911","col","","-0.866667","37.616669","Cueva Victoria","","","1","Early Pleistocene","","2.588","0.781","9372"
"34916","col","","-3.518889","42.352501","Atapuerca TD4","","Gran Dolina ","1","Early Pleistocene","","2.588","0.781","9374"
"34920","col","","-3.518889","42.352501","Atapuerca TD5","","Gran Dolina","1","Pleistocene","","2.588","0.0117","9351"
"34925","col","","-3.518889","42.352501","Atapuerca TD8","","Gran Dolina","1","Middle Pleistocene","","0.781","0.126","9351"
"34926","col","","3.518889","42.352501","Atapuerca TD10","","Gran Dolina","1","Middle Pleistocene","","0.781","0.126","9351"
